region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
RightSTS;None;6;{'strategy': 'stratified', 'random_state': None};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.5368809272918862;0.5400829995964204;0.5384079721623386;0.5368809272918862;0.0;0.0;0.0;0.0
LeftSTS;None;6;{'strategy': 'stratified', 'random_state': None};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.5113217482885729;0.517128681550252;0.5140580090787146;0.5113217482885729;0.0;0.0;0.0;0.0
RightMotor;None;6;{'strategy': 'most_frequent', 'random_state': None};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.7069422363540011;0.49976732554119635;0.5855702845676731;0.7069422363540011;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'strategy': 'stratified', 'random_state': None};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.584525702172761;0.5985191533793424;0.5909810948676348;0.584525702172761;0.0;0.0;0.0;0.0
LeftFusiformGyrus;None;6;{'strategy': 'stratified', 'random_state': None};{'energy_ts': ['mouth_AU', 'eyes_AU', 'total_AU', 'head_rotation_energy', 'head_translation_energy', 'head_positions']};['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3'];['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3'];0.5347111817700053;0.5493820299827809;0.5413687324283041;0.5347111817700053;0.0;0.0;0.0;0.0
RightFusiformGyrus;None;6;{'strategy': 'stratified', 'random_state': None};{'energy_ts': ['mouth_AU', 'eyes_AU', 'total_AU', 'head_rotation_energy', 'head_translation_energy', 'head_positions']};['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3'];['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3'];0.5458399576046634;0.5546751821342216;0.5500123498326306;0.5458399576046635;0.0;0.0;0.0;0.0
RightSTS;None;6;{'strategy': 'uniform', 'random_state': None};{'speech_ts': ['disc_IPU']};['disc_IPU'];['disc_IPU'];0.5026455026455027;0.5338228740305837;0.5100899254249899;0.5026455026455027;0.0;0.0;0.0;0.0
LeftSTS;None;6;{'strategy': 'uniform', 'random_state': None};{'speech_ts': ['disc_IPU']};['disc_IPU'];['disc_IPU'];0.48095238095238096;0.5222224021340608;0.48993322217255564;0.48095238095238096;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'strategy': 'stratified', 'random_state': None};{'speech_left_ts': ['IPU_left']};['IPU_left'];['IPU_left'];0.5892951775304717;0.5962435698861995;0.5926114542916877;0.5892951775304717;0.0;0.0;0.0;0.0
RightMotor;None;6;{'strategy': 'stratified', 'random_state': None};{'speech_left_ts': ['IPU_left']};['IPU_left'];['IPU_left'];0.5786963434022258;0.5835354446498942;0.5810412020236158;0.5786963434022258;0.0;0.0;0.0;0.0
Hypothalamus;None;6;{'strategy': 'uniform', 'random_state': None};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.49523809523809526;0.49523120329090475;0.49523352941600873;0.49523809523809526;0.0;0.0;0.0;0.0
